"","symbol","page?","name","t","p","p_corr","var_explained","var_sd"
"21","ABR","29","active BCR-related",7.54939026412381,0.000646219810005109,0.0145693830700393,2.33468309245804,1.46039958370494
"25","ACADL","33","acyl-CoA dehydrogenase, long chain",5.61921951416605,0.00247059845286396,0.0273440613459442,1.60242243099686,1.09741756153982
"47","ACTB","60","actin, beta",7.5285592415029,0.000654580886080298,0.0146152232856618,0.54590659230816,0.333800418898215
"53","ACTN1","87","actinin, alpha 1",6.10487167965312,0.00170815575442872,0.0228050312571033,3.7301608155479,3.04677585599214
"54","ACTN2","88","actinin, alpha 2",4.79146667126832,0.00492054725161063,0.0394611943361227,2.04429999969501,1.64710830368535
"71","ADCY2","108","adenylate cyclase 2 (brain)",4.42305982525993,0.00687235386570938,0.0477458622347931,1.95027691413072,1.96080239022153
"75","ADCY7","113","adenylate cyclase 7",11.6191106110413,8.29040810015359e-05,0.00821304466849202,2.56518904697508,1.06130291792446
"81","ADD2","119","adducin 2 (beta)",4.5321720155764,0.00621310033339371,0.0453037612612091,1.09300713443066,0.885420900182716
"101","ADRA1B","147","adrenoceptor alpha 1B",8.82047753943723,0.000311043089331242,0.0109854008141089,4.10141893945986,2.48898152081515
"106","ADRB1","153","adrenoceptor beta 1",9.34927760207987,0.000235830684731729,0.010143997253304,2.73195156280859,1.39029902877308
"110","ADRBK2","157","adrenergic, beta, receptor kinase 2",4.64011845864918,0.00563208357425231,0.0426534945629338,1.23923792710116,0.741788601471504
"166","ALK","238","anaplastic lymphoma receptor tyrosine kinase",6.23237324405897,0.00155642933511169,0.0218909381140446,1.73292418783703,1.33739566789084
"205","ANXA1","301","annexin A1",6.03724211682199,0.00179568538189392,0.0233699935144049,6.57589892173137,5.23808664157753
"213","ANXA7","310","annexin A7",5.81872503855957,0.00211688156221779,0.0252434142075736,1.00467203486326,0.822800555375155
"214","ANXA11","311","annexin A11",5.47336740541539,0.00277351565694641,0.0288987819353108,2.88625125097108,2.57443550104678
"232","BIRC3","330","baculoviral IAP repeat containing 3",10.6131857985171,0.000128418504694211,0.0087705683711735,3.16882041789957,1.3976575085807
"255","SHROOM2","357","shroom family member 2",4.9544811887392,0.00426841385961189,0.0363190826441884,1.77577851720898,1.3977864272973
"268","TRIM23","373","tripartite motif containing 23",4.65081742773278,0.00557801621185043,0.0424722094300041,1.36758121620615,1.3033158199969
"269","AREG","374","amphiregulin",6.61020375780181,0.00119186627527438,0.0192804079876487,2.70211451931235,2.09478996397095
"270","ARF1","375","ADP-ribosylation factor 1",6.32302041611331,0.00145818134759524,0.0212964944312952,1.40363680382265,1.08980307686374
"271","ARF3","377","ADP-ribosylation factor 3",4.55770607900954,0.00606961151650458,0.0446536771378867,1.79329448412895,1.51770179098766
"281","RND3","390","Rho family GTPase 3",6.73992815777609,0.00109065664528601,0.0185125867246744,1.81241304701633,1.47661232198494
"283","ARHGAP1","392","Rho GTPase activating protein 1",4.96713754679722,0.00422214518982436,0.0361013483930924,1.26055696375204,1.13509924677959
"286","ARHGAP6","395","Rho GTPase activating protein 6",5.0895505020829,0.0038035867060647,0.0341278070476536,1.11739828184956,0.842091749530582
"296","ARNTL","406","aryl hydrocarbon receptor nuclear translocator-like",4.47610037766265,0.0065422442324056,0.0464935490116292,2.36920340342531,1.52002315971197
"323","ASTN1","460","astrotactin 1",11.0434087707083,0.000106016019153612,0.00832762627818942,2.81106015637844,1.21220386177092
"343","ATP2A2","488","ATPase, Ca++ transporting, cardiac muscle, slow twitch 2",4.55099306753501,0.00610695891621611,0.0447942764232916,0.946428863820936,0.769068995334991
"345","ATP2B1","490","ATPase, Ca++ transporting, plasma membrane 1",7.08123223985034,0.000869299708214482,0.0166698384801044,2.29505915322652,1.5228853029004
"346","ATP2B2","491","ATPase, Ca++ transporting, plasma membrane 2",8.08416948947124,0.000469287405783695,0.0128356280316127,1.23773703053986,0.735896911223062
"348","ATP2B4","493","ATPase, Ca++ transporting, plasma membrane 4",7.7821837748275,0.000560890118540823,0.01391172153632,2.39153418963775,1.44293216522417
"367","ATP6V1C1","528","ATPase, H+ transporting, lysosomal 42kDa, V1 subunit C1",6.88461287173253,0.000989521041848072,0.0176256845731756,2.10098410641762,1.51053648039068
"395","BAI2","576","brain-specific angiogenesis inhibitor 2",8.102504731561,0.000464321967571859,0.0128008763128862,3.44661424017437,2.14723394100695
"399","BARD1","580","BRCA1 associated RING domain 1",5.08974640917839,0.00380295682585171,0.0341278070476536,1.30358899625552,0.944189535508705
"428","BFSP1","631","beaded filament structural protein 1, filensin",7.49838259224157,0.000666921643956323,0.0147796377536462,2.64545615334138,1.69548156486847
"432","BHMT","635","betaine--homocysteine S-methyltransferase",5.19130698370666,0.00349223150982967,0.0324812529999614,2.33280779259302,1.96985145534246
"434","BID","637","BH3 interacting domain death agonist",5.79713874960114,0.00215213873025498,0.0253464633347366,2.3292651789163,1.55523942324119
"455","BMPR2","659","bone morphogenetic protein receptor, type II (serine/threonine kinase)",8.98503357745907,0.000284923544951689,0.0108004302200988,2.47203466227105,1.25494253534035
"492","SERPING1","710","serpin peptidase inhibitor, clade G (C1 inhibitor), member 1",6.73965637451905,0.0010908578156577,0.0185125867246744,1.42443196664453,0.963721221195129
"493","ERC2-IT1","711","ERC2 intronic transcript 1 (non-protein coding)",7.98125605668409,0.000498357005302102,0.0131798308768636,3.42976836828531,1.92970052370804
"517","MPPED2","744","metallophosphoesterase domain containing 2",7.35128051444295,0.000731176690146887,0.0153609124862391,1.26000079180219,0.691205176035187
"527","MPPED1","758","metallophosphoesterase domain containing 1",5.86023559680491,0.0020509723052766,0.0248447326980097,2.38925701876435,1.33577102147307
"540","CACNA1B","774","calcium channel, voltage-dependent, N type, alpha 1B subunit",8.26277147501506,0.00042347368118019,0.0122751214651126,1.40271497762058,0.742639641604934
"547","CACNA2D1","781","calcium channel, voltage-dependent, alpha 2/delta subunit 1",7.02718953385,0.000900532581692355,0.0168947389671832,3.35482343389119,2.29011692766731
"548","CACNB1","782","calcium channel, voltage-dependent, beta 1 subunit",7.82004236439201,0.0005483112856344,0.0138291241428786,2.83673397579211,1.82588370999712
"550","CACNB3","784","calcium channel, voltage-dependent, beta 3 subunit",5.08967259218832,0.00380319414781633,0.0341278070476536,1.78807675650887,1.56822369272403
"569","CAMK2A","815","calcium/calmodulin-dependent protein kinase II alpha",13.4650727393375,4.04513064646561e-05,0.00808026044275864,2.68597718280815,0.895293729740786
"573","CAMLG","819","calcium modulating ligand",7.97555688949074,0.000500028363943981,0.0131996352921175,1.9924960057195,1.22993314374017
"621","CCK","885","cholecystokinin",11.9474947110038,7.24205463614456e-05,0.00808026044275864,3.40552090903323,1.41016027996685
"649","CD5","921","CD5 molecule",5.04322804183699,0.00395600588983152,0.0348184698921896,1.51555125577981,1.04650363122094
"661","CD27","939","CD27 molecule",4.47232270784831,0.00656513765914307,0.0465448555663735,1.00807982022082,0.882761463029077
"703","CDC5L","988","CDC5 cell division cycle 5-like (S. pombe)",7.94550471426061,0.000508952399131457,0.0133443945849765,0.585299394771937,0.3510160627424
"705","CDC6","990","cell division cycle 6 homolog (S. cerevisiae)",5.90628908273091,0.00198065448974389,0.024423881786045,2.63616729225567,1.96757340840886
"710","CDC27","996","cell division cycle 27 homolog (S. cerevisiae)",4.53171091445126,0.00621572747952895,0.0453037612612091,0.955484794333838,1.17311806820187
"714","CDH2","1000","cadherin 2, type 1, N-cadherin (neuronal)",7.48248774770961,0.000673532660332502,0.0148175315520371,2.1673396622124,1.34704051914044
"716","CDH4","1002","cadherin 4, type 1, R-cadherin (retinal)",5.39863146180347,0.00294552751596099,0.0299072061646085,2.35454145039866,1.64170693797587
"721","CDH9","1007","cadherin 9, type 2 (T1-cadherin)",10.5186318180107,0.000134074175206901,0.0087705683711735,2.73454364212241,1.23459230896703
"724","CDH12","1010","cadherin 12, type 2 (N-cadherin 2)",19.7943672526673,6.07844740744903e-06,0.0077978204316097,5.56651174430682,1.3854404523044
"725","CDH13","1012","cadherin 13, H-cadherin (heart)",6.73684127957887,0.00109294409318729,0.0185310186501503,2.10494922416616,1.4008582292694
"744","CDKN2D","1032","cyclin-dependent kinase inhibitor 2D (p19, inhibits CDK4)",6.23179715412212,0.00155707824685446,0.0218909381140446,2.11338917305344,1.65194165474943
"751","CD52","1043","CD52 molecule",6.08671920375125,0.00173114647358962,0.0229688451619458,5.58275991801064,4.26401488908885
"788","CHD3","1107","chromodomain helicase DNA binding protein 3",4.67902713028524,0.00543832830915128,0.041822615820321,2.04203148892673,1.85253682694979
"800","CHM","1121","choroideremia (Rab escort protein 1)",5.10565524588206,0.00375221132763452,0.0339262499992154,1.6909647285544,1.38957120867991
"801","CHML","1122","choroideremia-like (Rab escort protein 2)",5.14056932955368,0.00364359282742238,0.0333506667122981,2.22920221748596,1.27912151911149
"802","CHN1","1123","chimerin (chimaerin) 1",7.60695417074182,0.000623765070479937,0.0144511135875727,2.43574821162438,1.20686310915173
"804","CHRM1","1128","cholinergic receptor, muscarinic 1",8.61983091564527,0.000346847855165207,0.0113126126610479,3.12343602642046,1.86461178368479
"807","CHRM3","1131","cholinergic receptor, muscarinic 3",10.0026831988884,0.000170727776616918,0.00937428397107264,2.7478503011484,1.42647937993615
"815","CHRNA7","1139","cholinergic receptor, nicotinic, alpha 7 (neuronal)",5.72172925330193,0.00228084296464144,0.0261944103348075,2.0846763625995,1.4602758348203
"844","CLCN4","1183","chloride channel, voltage-sensitive 4",4.70658246075241,0.00530579539054371,0.0413541690225842,0.750121879440607,0.608365230518933
"884","CNN1","1264","calponin 1, basic, smooth muscle",10.7824447205404,0.000118988451202854,0.00871348918117414,1.87674584280574,0.842968723433513
"930","CORT","1325","cortistatin",6.19685616040999,0.00159703909220346,0.0221465320944852,2.16659652186307,1.48797116359933
"938","COX7A1","1346","cytochrome c oxidase subunit VIIa polypeptide 1 (muscle)",4.51760533427807,0.00629672153011052,0.0455853967638859,2.52908324417724,1.9963450904757
"977","CRH","1392","corticotropin releasing hormone",9.34309736874129,0.000236575332882085,0.010143997253304,1.68149227310931,0.833915682224014
"978","CRHBP","1393","corticotropin releasing hormone binding protein",8.53861777301226,0.000362720176816581,0.011493682502646,1.94353150726131,1.00947397582392
