"","symbol","page?","name","t","p","p_corr","var_explained","var_sd"
"21","ABR","29","active BCR-related",6.85093144741155,0.00101203796611864,0.0231887152937534,0.851993246534641,0.511645538400044
"51","ACTN4","81","actinin, alpha 4",5.0026171624487,0.00409552900234276,0.0486478636409708,0.936584490931562,0.673573302561752
"53","ACTN1","87","actinin, alpha 1",9.42961889855373,0.000226399866435638,0.0132285767825662,0.920954355024162,0.440505373665215
"54","ACTN2","88","actinin, alpha 2",11.9586638660876,7.20927525126905e-05,0.00979471925804769,0.653173691055635,0.261283838585371
"64","ADA","100","adenosine deaminase",5.05875997426287,0.00390411762633491,0.0473208343677214,0.523428896387905,0.428580768858736
"78","ADCYAP1","116","adenylate cyclase activating polypeptide 1 (pituitary)",5.82643348108219,0.00210445613497547,0.0342027597167592,0.397265789447918,0.326265265068827
"101","ADRA1B","147","adrenoceptor alpha 1B",5.65878709919121,0.00239523593616219,0.0363428973759149,0.443857762152601,0.36605158818819
"106","ADRB1","153","adrenoceptor beta 1",11.2894279374807,9.53039474769768e-05,0.0103181414385621,1.3272201729794,0.623215713958761
"110","ADRBK2","157","adrenergic, beta, receptor kinase 2",5.05524857554072,0.00391577840734577,0.0473790953163542,0.699006738112817,0.627079403646527
"129","JAG1","182","jagged 1",5.43823976766203,0.00285285506239208,0.0396405736510322,0.497482253104191,0.459910006510519
"137","AHR","196","aryl hydrocarbon receptor",6.00828584820314,0.00183477037121621,0.0318370224612406,0.922242373449871,0.778454719730089
"150","ALCAM","214","activated leukocyte cell adhesion molecule",6.34711594312509,0.00143330803295203,0.0279923736996878,0.30611032977494,0.233253393934015
"166","ALK","238","anaplastic lymphoma receptor tyrosine kinase",5.66603673814661,0.00238172228650805,0.0362436758196507,0.446034439448673,0.291094541536811
"212","ANXA6","309","annexin A6",6.48872182433362,0.00129684678499898,0.0263804228159851,0.684124673404381,0.496581816710453
"214","ANXA11","311","annexin A11",13.7746923717324,3.61974758756539e-05,0.00886191586426777,0.631549612141712,0.229095375236738
"235","APLP1","333","amyloid beta (A4) precursor-like protein 1",7.01705350419974,0.000906537388554103,0.0222481613882812,0.615777560215696,0.315146258705163
"255","SHROOM2","357","shroom family member 2",5.6695133777325,0.00237527345705449,0.0362250985706469,1.2140652698451,0.948211382405155
"263","AQP9","366","aquaporin 9",7.77132280324172,0.000564561755485207,0.0180319038608786,0.66965570005513,0.398014290171422
"271","ARF3","377","ADP-ribosylation factor 3",4.94893296557677,0.0042888832880919,0.0499596589392552,0.798681548930355,0.683183045617371
"296","ARNTL","406","aryl hydrocarbon receptor nuclear translocator-like",5.5644738232249,0.00257951126775615,0.0377232653091644,0.733585017240129,0.6076834040029
"322","ASS1","445","argininosuccinate synthase 1",5.58403682361734,0.0025399569585861,0.0374459467703762,1.15591999613677,1.00650214396243
"345","ATP2B1","490","ATPase, Ca++ transporting, plasma membrane 1",7.1628151578056,0.000824544259043776,0.0214515663488648,0.467695610306948,0.260537861402239
"347","ATP2B3","492","ATPase, Ca++ transporting, plasma membrane 3",7.22683094162518,0.000791327491807323,0.02100807735913,1.03759524608078,0.636708909734633
"394","BAI1","575","brain-specific angiogenesis inhibitor 1",6.665542911233,0.00114738989041933,0.0248195578031249,0.406485207855793,0.283800965635097
"395","BAI2","576","brain-specific angiogenesis inhibitor 2",9.42827595548573,0.000226553775657554,0.0132285767825662,0.756051076234183,0.385106421779978
"399","BARD1","580","BRCA1 associated RING domain 1",5.39256099989546,0.00296004051677858,0.0405605551893713,0.431277460302658,0.346151303560716
"410","BCL2","596","B-cell CLL/lymphoma 2",5.28769258634474,0.00322448333704498,0.0424492306061773,0.951712710702367,0.678172255689674
"455","BMPR2","659","bone morphogenetic protein receptor, type II (serine/threonine kinase)",6.31981487901971,0.00146152858574342,0.0282087230379281,0.411762025830387,0.269539772710121
"517","MPPED2","744","metallophosphoesterase domain containing 2",6.52126640521542,0.00126768780056602,0.0260389588047093,1.22344601392792,0.793018322627132
